132	Pekingese	Toy		14	14, 18
133	Pembroke Welsh Corgi	Herding	10, 12	25, 30	12, 14
134	Perro de Presa Canario	Working	22	88, 110	10, 12
135	Petit Basset Griffon Vendeen	Hound	13, 15	25, 42	10, 14
136	Pharaoh Hound	Hound	21, 25	40, 60	12, 14
137	Plott Hound	Hound	20, 25	40, 60	12, 14
138	Pointer	Sporting	23, 28	45, 75	12, 15
139	Polish Lowland Sheepdog	Herding	17, 20	35, 55	10, 12
140	Pomeranian	Toy	8, 12	3, 7	15
141	Poodle	Non-Sporting	15, 10, 15, 10	40, 55, 12, 15, 5, 10	14, 18
142	Portuguese Water Dog	Working	17, 23	35, 60	10, 14
143	Pug	Toy		14, 18	12, 14
144	Pumi	Herding	15	18, 33	13, 15
145	Pyrenean Shepherd	Herding	15	15, 32	12, 16
146	Rat Terrier	Terrier	10, 13, 13, 18	8, 25	12, 18
147	Redbone Coonhound	Hound	21, 27	45, 80	10, 12
148	Rhodesian Ridgeback	Hound	24, 27	75, 80	10, 12
149	Rottweiler	Working	22, 27	75, 110, 135	8, 10
150	Russian Toy	Toy		3, 6	10, 15
151	Saint Bernard	Working		130, 180	7, 10
152	Saluki	Hound	23, 28	35, 65	12, 14
153	Samoyed	Working	19	50, 60	12, 14
154	Schapendoes	Herding	16, 20	30, 40	12, 15
155	Schipperke	Non-Sporting	10, 13	10, 16	13, 15
156	Scottish Deerhound	Hound	28, 32	70, 130	8, 10
157	Sealyham Terrier	Terrier		20, 24	14, 17
158	Shiba Inu	Non-Sporting		17, 23	12, 16
159	Shih Tzu	Toy	8, 11	9, 16	10, 18
160	Siberian Husky	Working	20	35, 60	12
161	Silken Windhound	Mixes and More		20, 45	14
162	Silky Terrier	Toy	9, 10	8, 10	12, 15
163	Skye Terrier	Terrier	9, 10	35, 45	12, 14
164	Sloughi	Hound	24, 29	35, 65	12, 15
165	Small Munsterlander	Sporting	19, 22	35, 60	12, 14
166	Soft Coated Wheaten Terrier	Terrier	16, 18	30, 40	12, 15
167	Spanish Water Dog	Sporting	16, 20	30, 50	12, 15
168	Spinone Italiano	Sporting		61, 85	10, 12
169	Staffordshire Bull Terrier	Terrier	14, 16	24, 38	12, 14
170	Standard Schnauzer	Working		30, 50	13, 15
171	Sussex Spaniel	Sporting	13, 15	35, 45	10, 15
172	Swedish Vallhund	Herding		20, 30	12, 14
173	Thai Ridgeback	Hound	20, 24	35, 55	10, 12
174	Tibetan Mastiff	Working	24, 26	85, 140	10, 14
175	Tibetan Spaniel	Non-Sporting	10	9, 15	12, 15
176	Tibetan Terrier	Non-Sporting	14, 17	20, 24	12, 15
177	Toy Fox Terrier	Toy	8, 11	4, 9	12, 15
178	Toy Poodle	Toy	10	5, 10	14, 18
179	Treeing Walker Coonhound	Hound	20, 27	45, 80	10, 13
180	Vizsla	Sporting	21, 24	50, 65	10, 14
181	Weimaraner	Sporting	23, 27	55, 90	12, 15
182	Welsh Springer Spaniel	Sporting	17, 19	35, 55	12, 15
183	Welsh Terrier	Terrier	15	20, 22	10, 14
184	Whippet	Hound	18, 22	25, 35	12, 15
185	Wirehaired Pointing Griffon	Sporting	20, 24	45, 70	12, 14
186	Wirehaired Vizsla	Sporting	25	45, 65	12, 14
187	Yorkshire Terrier	Toy	8, 9	4, 7	12, 16
